ct_norm_s1,ct_norm_s2,ct_norm_s3,ct_norm_s4,ct_norm_s5,ct_norm_s6,wip_norm,speed_norm,failure_prob,micro_stops_norm,operator_efficiency,action,reward,throughput_uph,episode,step
0.88,0.97,0.78,0.89,0.91,0.96,0.02,0.81,0.03,0.33,1.0,4,78.82,82.68,126,79
0.46,0.37,0.47,0.56,0.34,0.57,0.32,0.73,0.06,0.27,0.95,5,78.19,95.26,127,0
0.46,0.35,0.49,0.57,0.33,0.56,0.32,0.73,0.06,0.27,0.95,5,78.81,94.55,127,1
0.46,0.37,0.5,0.59,0.34,0.58,0.3,0.73,0.06,0.27,0.95,2,70.38,89.41,127,2
0.48,0.38,0.51,0.61,0.38,0.62,0.28,0.71,0.04,0.33,0.95,4,71.84,90.28,127,3
0.47,0.39,0.53,0.62,0.39,0.6,0.2,0.72,0.05,0.4,0.95,1,72.91,95.86,127,4
0.43,0.35,0.49,0.58,0.38,0.58,0.22,0.74,0.06,0.47,0.95,0,73.49,96.37,127,5
0.41,0.34,0.5,0.56,0.39,0.57,0.22,0.74,0.07,0.47,0.95,3,80.0,94.88,127,6
0.42,0.35,0.53,0.6,0.39,0.6,0.22,0.74,0.04,0.33,0.95,1,81.35,99.46,127,7
0.41,0.34,0.5,0.58,0.37,0.58,0.22,0.77,0.05,0.4,0.95,1,81.25,104.14,127,8
0.4,0.35,0.49,0.56,0.34,0.55,0.25,0.79,0.07,0.47,0.95,5,76.57,104.83,127,9
0.38,0.35,0.48,0.55,0.32,0.55,0.28,0.79,0.07,0.53,0.95,4,79.87,105.84,127,10
0.36,0.36,0.5,0.55,0.32,0.55,0.18,0.8,0.06,0.6,0.95,0,81.65,108.52,127,11
0.37,0.34,0.5,0.56,0.31,0.55,0.2,0.8,0.06,0.6,0.97,2,72.36,101.83,127,12
0.39,0.37,0.55,0.61,0.35,0.6,0.22,0.77,0.03,0.6,0.97,5,68.88,102.28,127,13
0.38,0.36,0.54,0.61,0.36,0.61,0.22,0.77,0.04,0.67,0.97,2,57.47,95.93,127,14
0.42,0.39,0.6,0.63,0.4,0.65,0.22,0.75,0.02,0.73,0.97,0,63.18,98.63,127,15
0.42,0.37,0.61,0.63,0.39,0.66,0.25,0.75,0.02,0.67,1.0,1,64.84,103.6,127,16
0.39,0.35,0.59,0.62,0.36,0.65,0.25,0.77,0.05,0.73,1.0,5,61.54,104.12,127,17
0.38,0.36,0.58,0.6,0.37,0.63,0.25,0.77,0.04,0.8,1.0,2,56.27,98.38,127,18
0.41,0.41,0.59,0.63,0.4,0.67,0.22,0.75,0.03,0.8,1.0,1,60.56,104.29,127,19
0.38,0.38,0.56,0.59,0.36,0.62,0.2,0.77,0.06,0.87,1.0,4,62.15,105.23,127,20
0.39,0.4,0.56,0.59,0.36,0.62,0.12,0.78,0.06,0.93,1.0,3,68.14,103.27,127,21
0.42,0.42,0.61,0.62,0.35,0.65,0.12,0.78,0.03,0.8,1.0,5,65.71,103.25,127,22
0.41,0.42,0.61,0.63,0.34,0.65,0.1,0.78,0.02,0.87,1.0,4,70.31,104.64,127,23
0.4,0.41,0.61,0.64,0.35,0.64,0.05,0.79,0.03,0.87,1.0,2,58.73,98.16,127,24
0.41,0.45,0.66,0.69,0.4,0.69,0.05,0.77,0.01,0.93,1.0,4,63.52,99.61,127,25
0.41,0.44,0.67,0.68,0.38,0.68,0.0,0.77,0.0,0.93,1.0,4,60.56,100.51,127,26
0.39,0.45,0.69,0.68,0.4,0.67,0.0,0.78,0.0,1.0,1.0,0,61.02,100.95,127,27
0.38,0.43,0.68,0.69,0.41,0.65,0.0,0.78,0.01,1.0,1.0,1,66.58,105.72,127,28
0.36,0.41,0.67,0.66,0.4,0.62,0.0,0.81,0.03,1.0,1.0,3,76.76,104.0,127,29
0.39,0.43,0.7,0.68,0.42,0.64,0.0,0.81,0.0,0.8,1.0,1,82.86,109.24,127,30
0.35,0.43,0.69,0.65,0.37,0.62,0.0,0.83,0.02,0.8,1.0,1,88.81,114.3,127,31
0.33,0.39,0.68,0.62,0.34,0.61,0.0,0.86,0.04,0.8,1.0,1,94.39,119.15,127,32
0.31,0.39,0.65,0.6,0.32,0.6,0.0,0.88,0.06,0.8,1.0,2,85.0,111.23,127,33
0.36,0.43,0.71,0.66,0.39,0.65,0.0,0.86,0.05,0.8,1.0,4,86.53,112.47,127,34
0.35,0.44,0.69,0.65,0.4,0.65,0.0,0.87,0.04,0.8,1.0,4,88.21,113.92,127,35
0.34,0.43,0.69,0.67,0.39,0.65,0.0,0.87,0.05,0.8,1.0,5,86.77,113.98,127,36
0.34,0.43,0.67,0.68,0.39,0.65,0.02,0.87,0.05,0.8,1.0,5,86.16,113.46,127,37
0.36,0.44,0.66,0.69,0.4,0.64,0.02,0.87,0.05,0.8,1.0,3,94.02,111.9,127,38
0.4,0.47,0.69,0.69,0.44,0.63,0.0,0.87,0.03,0.67,1.0,1,99.66,116.84,127,39
0.38,0.44,0.68,0.67,0.4,0.63,0.0,0.9,0.06,0.67,1.0,1,106.36,122.57,127,40
0.35,0.42,0.64,0.64,0.38,0.59,0.0,0.92,0.07,0.67,1.0,1,110.82,127.71,127,41
0.34,0.4,0.62,0.62,0.36,0.59,0.02,0.95,0.09,0.67,1.0,1,115.32,132.81,127,42
0.32,0.39,0.62,0.59,0.32,0.57,0.05,0.97,0.11,0.67,1.0,2,102.06,126.23,127,43
0.37,0.41,0.64,0.6,0.37,0.61,0.08,0.95,0.09,0.73,1.0,2,93.48,120.15,127,44
0.39,0.41,0.69,0.64,0.39,0.66,0.1,0.92,0.07,0.73,1.0,5,88.35,120.39,127,45
0.38,0.43,0.67,0.63,0.39,0.65,0.12,0.92,0.06,0.8,1.0,5,85.8,120.28,127,46
0.4,0.44,0.67,0.62,0.4,0.63,0.1,0.92,0.05,0.87,1.0,3,96.29,118.71,127,47
0.43,0.46,0.68,0.65,0.42,0.64,0.1,0.92,0.02,0.67,1.0,1,104.27,124.31,127,48
0.41,0.44,0.64,0.63,0.4,0.61,0.08,0.95,0.04,0.67,1.0,5,102.0,124.47,127,49
0.4,0.42,0.64,0.62,0.42,0.61,0.05,0.95,0.04,0.73,1.0,1,107.03,130.13,127,50
0.35,0.4,0.62,0.61,0.4,0.58,0.08,0.97,0.06,0.73,1.0,4,111.84,131.6,127,51
0.37,0.39,0.62,0.62,0.39,0.57,0.02,0.98,0.06,0.73,1.0,2,102.87,125.32,127,52
0.38,0.4,0.66,0.65,0.41,0.62,0.05,0.96,0.05,0.73,1.0,0,105.7,125.61,127,53
0.38,0.39,0.65,0.66,0.4,0.62,0.08,0.96,0.05,0.67,1.0,2,98.15,120.45,127,54
0.41,0.41,0.68,0.68,0.43,0.63,0.1,0.93,0.04,0.67,1.0,2,92.82,114.6,127,55
0.44,0.43,0.72,0.7,0.46,0.66,0.08,0.91,0.02,0.67,1.0,5,93.76,114.11,127,56
0.45,0.43,0.71,0.72,0.48,0.67,0.05,0.91,0.02,0.67,1.0,3,103.66,112.21,127,57
0.47,0.44,0.72,0.74,0.51,0.7,0.05,0.91,0.0,0.47,1.0,5,101.11,112.17,127,58
0.49,0.43,0.72,0.74,0.5,0.72,0.02,0.91,0.0,0.53,1.0,2,94.34,106.54,127,59
0.54,0.47,0.75,0.76,0.55,0.72,0.02,0.88,0.0,0.53,1.0,1,99.45,110.98,127,60
0.51,0.43,0.74,0.75,0.53,0.72,0.02,0.91,0.02,0.53,1.0,2,94.34,105.29,127,61
0.54,0.48,0.78,0.8,0.55,0.75,0.0,0.88,0.0,0.53,1.0,5,94.25,105.25,127,62
0.54,0.49,0.77,0.79,0.57,0.73,0.0,0.88,0.0,0.53,1.0,2,88.0,100.0,127,63
0.56,0.53,0.8,0.83,0.61,0.76,0.0,0.86,0.0,0.53,1.0,2,77.57,94.64,127,64
0.62,0.57,0.82,0.86,0.66,0.79,0.0,0.83,0.0,0.6,1.0,3,86.51,93.35,127,65
0.64,0.6,0.86,0.89,0.67,0.79,0.02,0.83,0.0,0.4,1.0,3,96.3,92.75,127,66
0.67,0.61,0.86,0.9,0.68,0.8,0.05,0.83,0.0,0.2,1.0,0,97.54,92.6,127,67
0.68,0.62,0.85,0.91,0.68,0.8,0.02,0.83,0.01,0.2,1.0,2,91.99,87.91,127,68
0.72,0.65,0.87,0.95,0.71,0.82,0.02,0.81,0.0,0.2,1.0,5,91.68,87.67,127,69
0.74,0.66,0.87,0.95,0.7,0.83,0.02,0.81,0.0,0.2,1.0,4,94.25,88.59,127,70
0.73,0.67,0.87,0.95,0.72,0.82,0.0,0.82,0.01,0.2,1.0,2,88.45,83.7,127,71
0.77,0.74,0.88,0.98,0.76,0.87,0.0,0.79,0.0,0.2,1.0,4,85.16,84.34,127,72
0.76,0.75,0.88,1.0,0.77,0.88,0.0,0.8,0.0,0.27,1.0,0,87.6,84.25,127,73
0.78,0.76,0.86,1.0,0.77,0.88,0.02,0.8,0.0,0.2,1.0,2,84.14,80.12,127,74
0.79,0.79,0.91,1.0,0.82,0.92,0.0,0.77,0.0,0.2,1.0,1,88.43,83.84,127,75
0.78,0.76,0.89,0.98,0.78,0.9,0.0,0.8,0.02,0.2,1.0,1,92.64,87.48,127,76
0.77,0.74,0.88,0.96,0.73,0.9,0.0,0.82,0.03,0.2,1.0,2,88.41,83.76,127,77
0.78,0.75,0.9,0.99,0.75,0.92,0.0,0.8,0.01,0.2,1.0,5,86.98,83.88,127,78
0.78,0.76,0.89,0.99,0.77,0.91,0.02,0.8,0.02,0.2,1.0,3,95.25,82.71,127,79
0.38,0.49,0.33,0.36,0.37,0.39,0.32,0.7,0.05,0.07,0.75,3,66.91,75.61,128,0
0.39,0.51,0.34,0.39,0.38,0.4,0.32,0.7,0.03,0.07,0.75,2,62.83,70.85,128,1
0.44,0.54,0.39,0.42,0.4,0.43,0.3,0.67,0.02,0.07,0.75,5,62.65,70.74,128,2
0.44,0.55,0.37,0.43,0.41,0.43,0.3,0.67,0.02,0.07,0.75,3,63.85,69.46,128,3
0.47,0.58,0.4,0.46,0.42,0.45,0.32,0.67,0.0,0.0,0.75,0,60.61,71.4,128,4
0.47,0.56,0.39,0.45,0.4,0.46,0.35,0.67,0.01,0.07,0.77,0,64.82,72.86,128,5
0.45,0.55,0.4,0.45,0.4,0.48,0.38,0.67,0.01,0.0,0.78,3,63.86,71.96,128,6
0.45,0.58,0.39,0.49,0.4,0.5,0.38,0.67,0.0,0.0,0.78,1,69.34,76.78,128,7
0.44,0.54,0.35,0.44,0.38,0.46,0.38,0.7,0.03,0.0,0.78,4,72.58,77.88,128,8
0.43,0.53,0.34,0.46,0.37,0.45,0.28,0.71,0.04,0.07,0.78,2,67.12,73.2,128,9
0.46,0.55,0.37,0.49,0.39,0.52,0.28,0.68,0.02,0.07,0.78,2,57.88,68.73,128,10
0.5,0.56,0.41,0.53,0.42,0.55,0.28,0.66,0.01,0.13,0.78,3,66.65,68.05,128,11
0.5,0.6,0.42,0.52,0.45,0.56,0.25,0.66,0.0,0.0,0.78,3,60.59,67.57,128,12
0.49,0.61,0.42,0.54,0.47,0.57,0.28,0.66,0.0,0.07,0.78,4,65.02,68.84,128,13
0.48,0.61,0.41,0.54,0.45,0.57,0.22,0.67,0.01,0.07,0.78,3,70.06,68.39,128,14
0.48,0.62,0.41,0.56,0.45,0.6,0.2,0.67,0.0,0.0,0.78,0,72.03,70.03,128,15
0.48,0.6,0.42,0.55,0.45,0.6,0.2,0.67,0.0,0.0,0.8,3,68.34,69.03,128,16
0.52,0.62,0.43,0.58,0.47,0.59,0.18,0.67,0.0,0.07,0.8,4,73.61,69.73,128,17
0.54,0.64,0.42,0.58,0.47,0.59,0.1,0.67,0.01,0.07,0.8,2,68.44,65.37,128,18
0.58,0.68,0.45,0.63,0.48,0.64,0.1,0.65,0.0,0.07,0.8,4,70.22,66.43,128,19
0.6,0.66,0.45,0.63,0.47,0.62,0.02,0.66,0.0,0.13,0.8,0,75.08,69.24,128,20
0.61,0.68,0.44,0.62,0.46,0.64,0.0,0.66,0.0,0.13,0.84,2,70.06,65.05,128,21
0.64,0.73,0.45,0.66,0.48,0.69,0.0,0.63,0.0,0.13,0.84,4,71.21,66.03,128,22
0.62,0.73,0.45,0.66,0.49,0.68,0.0,0.64,0.0,0.13,0.84,1,75.69,69.92,128,23
0.61,0.69,0.41,0.63,0.48,0.64,0.0,0.67,0.02,0.13,0.84,3,77.24,68.95,128,24
0.64,0.71,0.44,0.63,0.49,0.67,0.02,0.67,0.0,0.07,0.84,4,80.05,70.04,128,25
0.64,0.7,0.44,0.64,0.48,0.66,0.0,0.67,0.0,0.07,0.84,2,75.27,66.06,128,26
0.65,0.72,0.45,0.67,0.52,0.7,0.0,0.65,0.0,0.07,0.84,2,68.92,62.02,128,27
0.69,0.75,0.49,0.71,0.55,0.74,0.02,0.62,0.0,0.07,0.84,4,71.42,62.85,128,28
0.7,0.75,0.47,0.71,0.55,0.75,0.0,0.63,0.0,0.07,0.84,1,71.46,66.4,128,29
0.67,0.71,0.45,0.68,0.53,0.75,0.0,0.66,0.02,0.13,0.84,4,72.82,67.56,128,30
0.66,0.71,0.45,0.66,0.51,0.75,0.0,0.67,0.02,0.13,0.84,4,73.95,68.51,128,31
0.66,0.71,0.45,0.65,0.53,0.75,0.0,0.67,0.03,0.13,0.84,3,81.8,68.16,128,32
0.65,0.7,0.47,0.66,0.53,0.77,0.0,0.67,0.0,0.0,0.84,2,77.13,64.27,128,33
0.67,0.73,0.51,0.69,0.57,0.8,0.0,0.65,0.0,0.0,0.84,2,66.89,60.33,128,34
0.7,0.77,0.55,0.72,0.61,0.83,0.02,0.62,0.0,0.07,0.84,2,59.88,56.57,128,35
0.73,0.82,0.56,0.78,0.65,0.86,0.0,0.6,0.0,0.13,0.84,4,60.43,57.04,128,36
0.73,0.82,0.56,0.79,0.67,0.87,0.0,0.61,0.0,0.13,0.84,3,62.37,56.56,128,37
0.75,0.82,0.58,0.82,0.67,0.88,0.02,0.61,0.0,0.07,0.84,4,64.68,57.29,128,38
0.76,0.82,0.6,0.82,0.66,0.88,0.0,0.62,0.01,0.07,0.84,5,59.25,57.29,128,39
0.75,0.81,0.59,0.81,0.67,0.89,0.02,0.62,0.0,0.13,0.84,5,55.52,57.52,128,40
0.76,0.8,0.58,0.8,0.69,0.87,0.02,0.62,0.0,0.2,0.84,1,57.16,60.24,128,41
0.75,0.8,0.57,0.78,0.67,0.85,0.05,0.64,0.01,0.2,0.84,0,59.64,61.06,128,42
0.74,0.8,0.56,0.76,0.68,0.87,0.02,0.64,0.01,0.2,0.85,5,53.7,60.76,128,43
0.73,0.81,0.57,0.77,0.7,0.87,0.05,0.64,0.02,0.27,0.85,2,48.08,57.22,128,44
0.79,0.83,0.62,0.77,0.76,0.88,0.08,0.62,0.01,0.27,0.85,0,53.94,57.57,128,45
0.81,0.81,0.63,0.79,0.76,0.87,0.05,0.62,0.01,0.2,0.85,4,55.22,58.65,128,46
0.82,0.82,0.61,0.77,0.74,0.86,0.05,0.62,0.02,0.2,0.85,1,55.02,61.9,128,47
0.8,0.79,0.6,0.76,0.72,0.81,0.05,0.65,0.03,0.27,0.85,0,55.98,64.03,128,48
0.81,0.79,0.62,0.75,0.7,0.81,0.08,0.65,0.04,0.27,0.88,4,60.12,65.03,128,49
0.8,0.77,0.62,0.74,0.71,0.81,0.02,0.66,0.04,0.27,0.88,5,54.51,64.91,128,50
0.82,0.77,0.61,0.74,0.72,0.82,0.05,0.66,0.04,0.33,0.88,3,60.55,64.3,128,51
0.85,0.79,0.62,0.75,0.73,0.82,0.08,0.66,0.01,0.2,0.88,0,66.12,66.86,128,52
0.84,0.8,0.63,0.74,0.75,0.81,0.1,0.66,0.01,0.13,0.92,0,66.87,67.51,128,53
0.84,0.82,0.62,0.72,0.75,0.79,0.1,0.66,0.01,0.13,0.93,3,71.63,66.77,128,54
0.85,0.83,0.64,0.72,0.78,0.83,0.08,0.66,0.0,0.07,0.93,5,69.88,66.61,128,55
0.86,0.85,0.65,0.72,0.78,0.81,0.1,0.66,0.01,0.07,0.93,5,71.5,66.79,128,56
0.85,0.85,0.66,0.71,0.78,0.8,0.08,0.66,0.02,0.07,0.93,3,70.98,66.23,128,57
0.87,0.87,0.66,0.72,0.8,0.82,0.08,0.66,0.0,0.07,0.93,0,80.2,69.34,128,58
0.85,0.88,0.66,0.71,0.8,0.82,0.05,0.66,0.0,0.0,0.97,1,84.47,73.02,128,59
0.82,0.86,0.63,0.7,0.76,0.81,0.05,0.68,0.01,0.0,0.97,0,82.07,75.62,128,60
0.83,0.84,0.61,0.71,0.74,0.81,0.08,0.68,0.02,0.07,1.0,1,87.24,78.93,128,61
0.83,0.82,0.61,0.68,0.72,0.81,0.05,0.71,0.05,0.07,1.0,2,76.73,74.56,128,62
0.89,0.85,0.66,0.7,0.75,0.83,0.08,0.68,0.02,0.13,1.0,0,76.79,74.62,128,63
0.88,0.84,0.67,0.7,0.75,0.83,0.08,0.68,0.03,0.13,1.0,0,78.65,74.86,128,64
0.87,0.83,0.67,0.7,0.76,0.82,0.05,0.68,0.02,0.13,1.0,4,82.56,75.61,128,65
0.88,0.81,0.68,0.71,0.78,0.81,0.0,0.69,0.02,0.13,1.0,1,87.87,80.22,128,66
0.85,0.78,0.64,0.66,0.73,0.78,0.0,0.72,0.04,0.13,1.0,1,86.94,84.19,128,67
0.84,0.77,0.61,0.63,0.71,0.76,0.02,0.74,0.06,0.2,1.0,1,87.5,88.13,128,68
0.81,0.74,0.6,0.63,0.66,0.76,0.02,0.77,0.08,0.27,1.0,1,90.05,92.5,128,69
0.78,0.71,0.59,0.62,0.63,0.72,0.0,0.79,0.09,0.33,1.0,1,89.36,96.74,128,70
0.74,0.69,0.59,0.61,0.6,0.7,0.02,0.82,0.12,0.4,1.0,3,94.92,95.73,128,71
0.73,0.69,0.63,0.62,0.62,0.74,0.05,0.82,0.1,0.27,1.0,1,97.43,100.02,128,72
0.7,0.67,0.61,0.62,0.6,0.71,0.02,0.84,0.11,0.33,1.0,3,106.78,98.74,128,73
0.7,0.7,0.64,0.66,0.62,0.71,0.05,0.84,0.07,0.13,1.0,4,111.12,99.9,128,74
0.68,0.71,0.63,0.65,0.63,0.7,0.0,0.85,0.08,0.13,1.0,5,110.54,99.46,128,75
0.69,0.72,0.63,0.67,0.65,0.69,0.0,0.85,0.08,0.13,1.0,0,114.68,99.56,128,76
0.71,0.71,0.62,0.68,0.64,0.69,0.0,0.85,0.08,0.07,1.0,5,114.16,99.18,128,77
0.71,0.73,0.63,0.68,0.64,0.69,0.0,0.85,0.09,0.07,1.0,0,113.96,99.03,128,78
0.71,0.74,0.62,0.69,0.63,0.69,0.0,0.85,0.09,0.07,1.0,2,107.85,93.87,128,79
0.47,0.34,0.53,0.48,0.35,0.47,0.3,0.73,0.08,0.0,0.77,2,65.97,73.86,129,0
0.5,0.39,0.56,0.53,0.4,0.51,0.3,0.71,0.07,0.07,0.77,4,66.72,74.47,129,1
0.5,0.37,0.57,0.54,0.42,0.51,0.3,0.72,0.06,0.07,0.77,2,58.97,69.98,129,2
0.57,0.4,0.6,0.57,0.45,0.53,0.28,0.69,0.05,0.13,0.77,2,52.58,65.71,129,3
0.62,0.43,0.63,0.59,0.48,0.58,0.3,0.67,0.03,0.13,0.77,5,46.98,65.65,129,4
0.61,0.44,0.63,0.6,0.48,0.57,0.32,0.67,0.03,0.2,0.77,2,39.71,61.47,129,5
0.66,0.47,0.68,0.64,0.5,0.62,0.3,0.64,0.0,0.27,0.77,0,38.3,61.62,129,6
0.68,0.47,0.7,0.65,0.52,0.62,0.32,0.64,0.01,0.27,0.78,2,34.07,57.98,129,7
0.71,0.5,0.72,0.68,0.57,0.62,0.32,0.62,0.0,0.27,0.78,5,32.42,57.93,129,8
0.73,0.51,0.73,0.66,0.56,0.64,0.35,0.62,0.01,0.27,0.78,1,37.78,61.35,129,9
0.69,0.47,0.71,0.63,0.55,0.62,0.32,0.64,0.03,0.27,0.78,3,44.13,60.94,129,10
0.7,0.49,0.73,0.63,0.56,0.62,0.35,0.64,0.0,0.13,0.78,2,41.6,57.59,129,11
0.7,0.52,0.76,0.65,0.6,0.64,0.32,0.62,0.0,0.13,0.78,5,43.4,57.83,129,12
0.69,0.53,0.75,0.64,0.59,0.64,0.3,0.62,0.0,0.13,0.78,4,47.27,58.56,129,13
0.68,0.53,0.77,0.64,0.61,0.63,0.25,0.62,0.0,0.13,0.78,5,42.03,58.83,129,14
0.67,0.51,0.75,0.63,0.62,0.61,0.28,0.62,0.01,0.2,0.78,1,47.18,62.1,129,15
0.63,0.5,0.73,0.59,0.62,0.6,0.25,0.65,0.03,0.2,0.78,3,54.61,61.37,129,16
0.63,0.54,0.73,0.62,0.64,0.62,0.25,0.65,0.0,0.07,0.78,4,55.78,61.94,129,17
0.63,0.54,0.75,0.64,0.65,0.61,0.18,0.66,0.01,0.13,0.78,5,51.57,61.76,129,18
0.65,0.55,0.74,0.63,0.66,0.62,0.18,0.66,0.0,0.2,0.78,2,48.4,57.83,129,19
0.7,0.56,0.77,0.68,0.68,0.67,0.15,0.63,0.0,0.2,0.78,0,55.51,61.68,129,20
0.7,0.55,0.77,0.66,0.69,0.66,0.18,0.63,0.0,0.13,0.83,1,55.08,64.89,129,21
0.66,0.52,0.75,0.65,0.69,0.66,0.18,0.66,0.03,0.2,0.83,3,62.11,63.84,129,22
0.69,0.56,0.76,0.68,0.69,0.7,0.18,0.66,0.0,0.07,0.83,4,64.34,64.47,129,23
0.69,0.57,0.76,0.68,0.69,0.71,0.15,0.67,0.0,0.07,0.83,3,67.61,63.84,129,24
0.7,0.6,0.77,0.68,0.71,0.73,0.15,0.67,0.0,0.0,0.83,1,72.99,67.18,129,25
0.69,0.59,0.74,0.64,0.69,0.71,0.12,0.69,0.01,0.0,0.83,5,68.62,66.86,129,26
0.69,0.61,0.75,0.64,0.69,0.72,0.12,0.69,0.01,0.07,0.83,5,67.14,66.8,129,27
0.7,0.61,0.76,0.62,0.7,0.73,0.15,0.69,0.0,0.07,0.83,3,64.77,66.05,129,28
0.71,0.62,0.78,0.65,0.72,0.75,0.18,0.69,0.0,0.07,0.83,0,67.2,66.83,129,29
0.7,0.62,0.77,0.66,0.7,0.76,0.15,0.69,0.0,0.07,0.84,0,72.24,69.79,129,30
0.72,0.61,0.78,0.68,0.7,0.77,0.12,0.69,0.0,0.07,0.88,3,76.75,68.96,129,31
0.76,0.62,0.78,0.72,0.72,0.77,0.1,0.69,0.0,0.0,0.88,1,74.59,71.86,129,32
0.76,0.61,0.78,0.7,0.71,0.76,0.12,0.72,0.01,0.07,0.88,1,77.29,75.61,129,33
0.73,0.57,0.77,0.66,0.71,0.73,0.15,0.74,0.04,0.07,0.88,1,81.4,79.17,129,34
0.72,0.56,0.73,0.63,0.68,0.73,0.15,0.77,0.06,0.07,0.88,1,81.88,83.13,129,35
0.7,0.53,0.69,0.62,0.68,0.69,0.15,0.79,0.09,0.13,0.88,3,86.67,82.21,129,36
0.71,0.53,0.73,0.64,0.69,0.71,0.12,0.79,0.05,0.07,0.88,1,92.22,85.79,129,37
0.7,0.51,0.71,0.62,0.67,0.68,0.1,0.82,0.07,0.07,0.88,3,92.5,84.53,129,38
0.71,0.55,0.71,0.65,0.7,0.71,0.08,0.82,0.04,0.07,0.88,3,95.38,83.38,129,39
0.72,0.55,0.75,0.68,0.72,0.75,0.08,0.82,0.02,0.0,0.88,4,96.6,84.38,129,40
0.71,0.56,0.74,0.69,0.72,0.73,0.08,0.82,0.02,0.0,0.88,0,101.44,87.25,129,41
0.71,0.54,0.74,0.7,0.72,0.71,0.05,0.82,0.03,0.0,0.91,0,101.69,87.43,129,42
0.73,0.53,0.73,0.69,0.73,0.72,0.05,0.82,0.02,0.0,0.91,0,99.78,89.14,129,43
0.71,0.52,0.72,0.7,0.72,0.73,0.05,0.82,0.02,0.07,0.93,4,99.53,89.74,129,44
0.71,0.53,0.73,0.7,0.72,0.74,0.0,0.83,0.02,0.13,0.93,2,89.88,84.9,129,45
0.74,0.57,0.76,0.74,0.76,0.79,0.0,0.81,0.0,0.2,0.93,2,84.21,80.18,129,46
0.77,0.59,0.81,0.8,0.8,0.83,0.0,0.78,0.0,0.2,0.93,3,95.46,79.55,129,47
0.8,0.62,0.8,0.8,0.82,0.83,0.0,0.78,0.0,0.0,0.93,0,97.31,81.09,129,48
0.79,0.61,0.78,0.78,0.82,0.82,0.0,0.78,0.0,0.0,0.94,0,93.37,82.45,129,49
0.77,0.61,0.77,0.77,0.84,0.81,0.02,0.78,0.01,0.07,0.95,0,97.15,83.49,129,50
0.78,0.62,0.78,0.78,0.83,0.81,0.05,0.78,0.0,0.0,0.97,0,98.13,85.57,129,51
0.8,0.62,0.79,0.76,0.84,0.81,0.08,0.78,0.01,0.0,0.99,1,101.05,89.49,129,52
0.76,0.62,0.78,0.71,0.85,0.78,0.1,0.81,0.03,0.0,0.99,0,98.79,89.68,129,53
0.75,0.63,0.78,0.73,0.86,0.79,0.08,0.81,0.03,0.07,1.0,3,99.37,88.65,129,54
0.79,0.66,0.8,0.72,0.86,0.82,0.05,0.81,0.0,0.07,1.0,2,91.98,83.73,129,55
0.83,0.69,0.83,0.76,0.92,0.86,0.08,0.78,0.0,0.07,1.0,4,91.72,84.36,129,56
0.84,0.7,0.85,0.76,0.93,0.85,0.02,0.79,0.0,0.13,1.0,0,91.96,84.56,129,57
0.83,0.69,0.84,0.77,0.93,0.86,0.02,0.79,0.0,0.13,1.0,0,97.57,84.67,129,58
0.81,0.68,0.82,0.76,0.94,0.87,0.0,0.79,0.0,0.07,1.0,1,97.83,88.35,129,59
0.79,0.68,0.79,0.74,0.92,0.85,0.0,0.82,0.02,0.13,1.0,4,94.99,89.28,129,60
0.81,0.68,0.77,0.75,0.91,0.84,0.0,0.82,0.01,0.2,1.0,2,89.23,84.41,129,61
0.85,0.74,0.8,0.79,0.94,0.9,0.0,0.8,0.01,0.2,1.0,0,92.18,84.81,129,62
0.84,0.74,0.79,0.8,0.93,0.89,0.02,0.8,0.01,0.13,1.0,5,90.68,84.86,129,63
0.83,0.74,0.77,0.8,0.93,0.89,0.05,0.8,0.02,0.13,1.0,5,88.11,84.85,129,64
0.84,0.74,0.79,0.78,0.92,0.88,0.02,0.8,0.02,0.2,1.0,2,79.37,80.74,129,65
0.87,0.76,0.82,0.82,0.94,0.93,0.02,0.77,0.0,0.27,1.0,1,84.82,84.26,129,66
0.86,0.74,0.82,0.8,0.9,0.93,0.0,0.8,0.03,0.27,1.0,1,85.15,88.06,129,67
0.86,0.71,0.78,0.78,0.89,0.89,0.0,0.82,0.05,0.33,1.0,0,89.51,88.38,129,68
0.87,0.69,0.77,0.76,0.89,0.9,0.0,0.82,0.05,0.27,1.0,5,85.65,88.48,129,69
0.87,0.68,0.78,0.75,0.87,0.91,0.0,0.82,0.05,0.33,1.0,3,95.54,87.76,129,70
0.88,0.69,0.8,0.78,0.9,0.9,0.02,0.82,0.03,0.13,1.0,0,98.6,88.25,129,71
0.86,0.68,0.78,0.79,0.89,0.88,0.05,0.82,0.03,0.07,1.0,3,103.86,87.84,129,72
0.86,0.68,0.81,0.82,0.89,0.88,0.02,0.82,0.01,0.0,1.0,3,100.05,86.71,129,73
0.87,0.71,0.84,0.83,0.92,0.89,0.0,0.82,0.0,0.07,1.0,5,94.64,86.79,129,74
0.86,0.69,0.83,0.83,0.93,0.9,0.02,0.82,0.0,0.13,1.0,0,96.0,86.69,129,75
0.84,0.69,0.84,0.83,0.95,0.9,0.0,0.82,0.0,0.13,1.0,5,95.89,86.63,129,76
0.85,0.69,0.84,0.83,0.94,0.92,0.0,0.82,0.01,0.13,1.0,2,88.47,81.64,129,77
